season, race_id, rain, team, driver, driver_number, strategy_key, pit_count, compounds, stint_laps, grid, final
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LEC, 16,M-H, 1,['M'; 'H'],[22; 31], 1, 1
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
2024,2024_Monza, 0,Ferrari,LWC, 16,M-H, 2,['M'; 'H'],[22; 31], 3, 2
2024,2024_Monza, 0,BMW,LUC, 16,H-H, 3,['H'; 'H'],[21; 31], 10, 4
2024,2024_Monza, 0,BMU,LIC, 16,H-H, 2,['M'; 'H'],[21; 31], 6, 8
2024,2024_Monza, 0,BMW,LEC, 16,M-H, 1,['H'; 'H'],[29; 31], 4, 5
